long,lat,code,site_number
-71.9842417,41.5978761,CT,1127000
-72.6053669,41.9873186,CT,1184000
-72.76065059999998,41.9084308,CT,1189995
-72.58731139,41.7831547,CT,1192500
-73.16761190000003,41.38398528,CT,1205500
-73.9891667,40.99916667,NJ,1377000
-74.2819444,40.96916667,NJ,1388500
-74.0805556,40.89027778,NJ,1391500
-74.3116667,40.6875,NJ,1394500
-74.2833333,40.61888889,NJ,1395000
-74.96888889,40.6475,NJ,1396660
-75.0769444,39.49555556,NJ,1411500
-75.14267882,40.99870601,PA,1442500
-74.7780556,40.22166667,PA,1463500
-74.7491667,40.22416667,NJ,1464000
-75.02138889,39.90305556,NJ,1467150
-75.20684594,40.01539003,PA,1474000
-75.691601,39.816777,DE,1479820
-75.59326233,39.8698328,DE,1481000
-77.11524856,41.95257385,PA,1518700
-75.89464168,41.55841008,PA,1534000
-78.67697256,40.89700655,PA,1541000
-78.19695238,41.41339593,PA,1543000
-77.87388202,41.31950954,PA,1545000
-77.742504,40.975399,PA,1547200
-77.32414028,41.27368301,PA,1549700
-77.03274598,41.41840957,PA,1550000
-76.87635426,40.96758498,PA,1553500
-77.04830883,40.86674917,PA,1555000
-78.1405645,40.61256655,PA,1558000
-78.26529012,40.21591249,PA,1562000
-77.1291484,40.47841677,PA,1567000
-76.71996748,40.08231745,PA,1574000
-76.17495322,39.65732996,MD,1578310
-76.69369444,38.95591667,MD,1594440
-77.37719200000002,39.387983,MD,1643000
-79.09555556,36.07111111,NC,2085000
-77.58555556,35.25777778,NC,2089500
-79.54838961,34.20432518,SC,2131000
-83.30599301,34.81398141,GA,2177000
-82.67402742,31.9201826,GA,2215500
-81.94617,29.509568,FL,2243000
-81.45111,28.30389000000001,FL,2263800
-81.87591677,27.22227129,FL,2296750
-82.34954064,28.98886759,FL,2313000
-84.40777778,33.81944444,GA,2336300
-84.61465559,33.77288466,GA,2337000
-84.67361111,33.65666667,GA,2337170
-84.90077216,33.47705773,GA,2338000
-84.98771614,33.23539742,GA,2338660
-84.043611,32.293056,GA,2349605
-84.14416667,31.59416667,GA,2352500
-84.33888889,31.30694444,GA,2353000
-84.5799144,30.91157714,GA,2356000
-84.85908715,30.70102511,FL,2358000
-85.01546858,29.94937094,FL,2359170
-84.50855370000002,34.67497455,GA,2380500
-84.92827648,34.66674942,GA,2387000
-84.49467332,34.23992866,GA,2392000
-89.89729559999998,30.62935636,LA,2492000
-79.13310104,41.93811450000001,PA,3015000
-79.69533043,41.4817261,PA,3020500
-79.00836738,40.93923105,PA,3034000
-80.20561481,40.54923422,PA,3086000
-80.46006929,41.49810898,PA,3101500
-80.24228371,40.8170092,PA,3106000
-80.23367261,40.88395242,PA,3106500
-80.31506287,40.76339848,PA,3107500
-80.33756296,40.62784405,PA,3108000
-81.38956408,39.0589686,WV,3155000
-85.74773775,37.82284205,KY,3301500
-87.550045,38.489817,IN,3374100
-86.0365,43.31809000000001,MI,4121970
-83.4338609,44.43640447,MI,4137500
-98.027595,47.432771,ND,5057000
-97.028132,47.927479,MN,5082500
-97.368056,48.285833,ND,5085000
-97.412023,48.424711,ND,5090000
-100.729586,48.159729,ND,5120000
-93.64190222,44.69301833,MN,5330000
-91.96905946,44.6282987,WI,5369500
-91.28737022,44.06023902,WI,5382000
-90.44345853,43.19804202,WI,5407000
-90.25207303,41.78058635,IA,5420500
-91.18209388,41.17808612,IA,5465500
-91.27709424,40.75365038,IA,5474000
-91.58015556,39.89662778,MO,5500000
-87.9006159,41.82586432,IL,5531500
-90.64540468,39.70338020000001,IL,5586100
-105.84528,46.384725,MT,6308500
-105.878067,45.057765,MT,6324500
-105.309983,46.430004,MT,6326500
-101.622109,47.285282,ND,6340500
-100.974579,46.833883,ND,6349000
-104.940531,44.321926,WY,6426500
-103.629361,44.442207,SD,6436180
-103.481579,44.617763,SD,6436198
-103.136846,44.513042,SD,6437000
-102.566001,44.369708,SD,6438000
-99.556495,43.748327,SD,6452000
-98.681667,46.889722,ND,6470000
-98.304543,46.355525,ND,6470500
-95.922514,41.258887,NE,6610000
-105.004316,39.6627,CO,6711565
-105.2347199,39.7530583,CO,6719505
-105.061091,40.378595,CO,6741510
-105.096346,40.60302,CO,6752260
-105.01136499999998,40.551927,CO,6752280
-96.157844,41.015181,NE,6805500
-94.964689,38.983338,KS,6892350
-93.27368611,39.64003333,MO,6902000
-94.612967,38.218662,KS,6916600
-91.43850833,38.7098,MO,6934500
-89.46758611,37.21647778,MO,7022000
-90.87844884,35.1445342,AR,7047942
-94.0813127,36.07313426,AR,7048600
-93.85519548,36.20007504,AR,7049000
-93.375472,37.147139,MO,7052152
-93.461575,36.80539167,MO,7052500
-90.84762251,36.62200294,MO,7068000
-97.540597,38.028622,KS,7143672
-97.424486,37.883067,KS,7144100
-94.5868886,36.63146139,MO,7189000
-94.618,36.547297,MO,7189540
-94.683611,36.548889,OK,7189542
-94.55133,36.364523,AR,7191160
-94.58772,36.342024,AR,7191179
-94.838563,35.9212,OK,7197000
-99.278438,36.436703,OK,7237500
-98.065332,35.616993,OK,7239450
-97.663375,35.47866900000001,OK,7241000
-97.367258,35.565615,OK,7241520
-97.193919,35.500341,OK,7241550
-96.068608,35.673988,OK,7243500
-95.239411,35.263986,OK,7245000
-98.282547,34.362308,OK,7311000
-99.786482,33.820642,TX,7311700
-99.142849,33.760093,TX,7312100
-96.975845,34.233427,OK,7331000
-96.563326,33.818991,TX,7331600
-97.02973,32.798741,TX,8049500
-96.735832,32.707631,TX,8057410
-96.463042,32.42653,TX,8062500
-95.656341,31.338513,TX,8065350
-94.850762,30.425207,TX,8066500
-98.564484,31.217945,TX,8147000
-97.319437,30.104662,TX,8159200
-96.103848,29.309137,TX,8162000
-96.171075,28.928038,TX,8162600
-97.454685,25.877107,TX,8475000
-106.422534,40.20248400000001,CO,9041090
-106.413921,40.108596,CO,9041400
-106.440032,40.036652,CO,9058000
-106.44898,39.609403,CO,9066510
-107.330717,39.543557,CO,9085000
-108.266195,39.23914600000001,CO,9095500
-108.267861,39.183314,CO,9105000
-106.8476108,38.66397360000001,CO,9112500
-108.450645,38.983316,CO,9152500
-109.027055,39.13276,CO,9163500
-108.5048112,37.4709864,CO,9166500
-108.886697,38.310247,CO,9169500
-108.833435,38.356934,CO,9171100
-109.293449,38.810541,UT,9180500
-106.832271,40.483588,CO,9239500
-107.614234,40.480805,CO,9247600
-108.029804,40.502747,CO,9251000
-108.23592,40.077471,CO,9306222
-108.401205,40.168581,CO,9306255
-110.151248,38.986083,UT,9315000
